"mrt_flow.中山","mrt_flow.北投","mrt_flow.北門","mrt_flow.古亭","mrt_flow.士林","mrt_flow.大橋頭","mrt_flow.松山"
19,12,4,7,6,1,0
0,0,0,0,5,0,0
449,833,244,613,766,428,511
1670,2688,1341,2691,2689,1596,2399
4833,3189,2715,5633,3440,2440,5575
3136,1859,1178,3189,2440,1128,2719
2867,1631,769,2099,2159,1090,1267
3499,1514,702,2053,2217,1002,1075
3775,1280,728,2298,2315,864,1244
3979,1257,874,2283,2345,843,1241
4130,1243,867,2127,2162,819,1192
4214,1225,883,2091,2026,829,1339
4731,1408,1056,2480,2356,987,1483
6398,2057,1795,3982,3474,1592,2673
8871,2899,2564,5943,4236,2188,5055
6750,2194,1598,3881,2950,1539,3803
4527,1368,883,2401,1876,971,2082
4370,1172,692,2118,1598,850,1604
3125,937,474,1577,1205,614,1161
1070,407,199,641,480,290,474
608,188,133,365,241,159,241
32,17,4,11,4,8,1
0,0,0,2,9,0,0
460,573,277,571,679,332,517
1567,1785,1299,2424,2115,1177,2254
4830,3138,2567,5542,3457,2357,5335
3020,1793,1171,3115,2344,1184,2768
2816,1337,774,1952,2011,791,1226
3401,1303,728,1944,1890,787,1055
3850,1280,765,2206,2055,851,1265
4162,1293,894,2518,2322,816,1268
4084,1210,904,2290,2050,781,1214
4145,1131,900,2137,2026,809,1199
4694,1408,1103,2602,2266,923,1490
6835,2111,1698,4107,3566,1519,2700
10149,2978,2672,5954,4408,2231,5196
7633,2264,1578,3766,3000,1543,3917
4987,1415,927,2357,1979,1055,2019
4748,1143,689,2217,1718,1008,1682
4283,1007,605,1810,1427,763,1345
1539,495,332,832,588,418,703
517,214,97,283,225,132,214
20,11,2,5,3,0,0
0,0,0,0,6,2,0
338,382,124,372,399,310,283
505,688,236,719,812,528,587
1009,1029,421,1636,1286,571,839
1796,1179,522,2014,1727,835,1074
2521,1441,639,1975,1946,921,1038
3839,1524,743,2111,2099,1008,1207
4355,1421,776,2461,2271,962,1326
4963,1512,1000,2487,2459,1038,1233
5302,1383,1093,2278,2413,990,1242
5536,1324,1032,2344,2239,977,1287
6111,1344,1160,2512,2369,933,1403
6759,1582,1249,2934,2849,1201,1770
6459,1558,1139,2683,2652,1146,1813
5420,1180,897,2009,1957,977,1596
4353,949,705,1532,1554,804,1430
4319,1018,641,1806,1499,776,1368
3651,876,473,1349,1224,656,1136
1306,454,255,690,567,374,600
325,114,66,210,155,117,132
13,6,2,10,2,0,0
0,0,0,4,4,0,0
285,279,92,284,326,295,220
392,590,214,555,599,486,472
744,970,361,1129,1068,511,650
1290,1103,432,1404,1420,634,794
2161,1240,570,1445,1738,746,752
3301,1279,643,1708,1894,859,925
3794,1311,697,2027,2054,841,1082
4033,1231,891,2044,2265,859,1073
4741,1146,1062,1947,2207,787,1161
4944,1104,974,1895,2050,795,1109
5326,1255,1042,1972,2118,817,1232
5954,1528,1052,2303,2538,1033,1543
5405,1407,990,2098,2308,1008,1512
4299,1133,723,1602,1878,942,1397
3529,901,622,1403,1340,806,1259
3716,869,533,1482,1311,889,1244
2509,811,353,1010,873,638,826
748,388,175,461,412,318,433
307,98,48,208,164,79,148
14,5,3,7,4,1,0
0,0,0,0,7,0,0
453,613,235,600,648,339,521
1568,1845,1266,2513,2243,1231,2364
5075,3259,2744,6068,3602,2475,5896
2987,1662,1163,3407,2078,1151,2874
2422,1294,674,1944,1648,774,1238
2796,1160,620,1765,1699,675,1023
3232,1168,662,2132,1909,800,1203
3386,1124,793,2473,1971,766,1170
3291,930,719,2056,1734,682,1166
3164,810,744,1789,1567,645,1049
3521,1233,845,2294,1933,792,1326
5232,1880,1487,4324,3078,1395,2552
7912,2769,2603,6246,3987,2233,5069
5753,2005,1436,3807,2840,1311,3721
3621,1207,724,2150,1617,851,1818
3452,926,487,1935,1375,659,1274
2430,755,325,1348,991,520,967
713,327,126,471,369,263,418
339,127,67,212,127,115,161
13,9,0,6,0,2,0
0,0,0,0,5,0,0
461,604,223,606,660,367,506
1578,1888,1331,2702,2322,1166,2455
5218,3369,2868,6261,3855,2495,5917
3270,1817,1224,3634,2393,1296,3096
2440,1372,780,2087,1906,790,1248
2998,1294,673,1893,1855,799,1074
3484,1277,750,2287,2052,821,1219
3376,1275,685,2477,2128,800,1220
3522,1071,693,2073,1849,665,1002
3516,911,719,2033,1659,654,1124
3881,1265,876,2622,2194,795,1326
5672,1936,1581,4263,3331,1392,2456
8371,2786,2544,6200,4183,2136,5252
6105,2066,1490,4021,2808,1350,3823
4096,1324,733,2319,1714,839,1929
4121,1052,576,2095,1472,730,1366
2666,907,386,1551,1208,591,1073
812,347,142,534,409,256,421
337,133,78,219,142,95,139
13,10,2,8,3,2,0
0,0,0,0,6,0,0
440,583,236,625,616,368,504
1595,1912,1254,2593,2306,1152,2395
5169,3344,2833,6200,3905,2508,5854
3236,1831,1259,3648,2391,1284,3029
2744,1423,730,2104,1864,814,1235
3248,1325,689,1932,1747,763,1164
3513,1301,698,2306,2001,795,1277
3748,1224,853,2627,2205,858,1223
3786,1118,741,2113,1996,800,1129
3789,1070,778,2068,1833,730,1193
4191,1430,911,2522,2333,853,1489
5950,1979,1717,4592,3440,1471,2805
9477,3076,2659,6667,4205,2276,5551
6221,2047,1477,3957,2792,1378,3858
4165,1268,784,2403,1717,833,1896
4139,1187,563,2159,1481,792,1501
3071,928,409,1802,1201,587,1071
962,366,164,587,439,257,461
356,138,68,242,160,92,172
12,6,5,5,3,4,0
0,0,0,0,6,0,2
439,599,238,598,671,357,509
1468,1822,1282,2557,2252,1201,2409
5208,3481,2850,6157,3672,2557,5928
3181,1864,1225,3537,2597,1324,3012
2762,1302,701,2056,1922,885,1366
3124,1270,616,1986,1834,831,1054
3549,1283,722,2328,2035,785,1294
3819,1199,834,2559,2373,878,1154
3683,1170,716,2056,1878,662,1083
3490,993,767,1976,1827,648,1199
4379,1340,888,2637,2140,812,1438
5956,2181,1646,4343,3478,1537,2572
9023,2896,2635,6584,4140,2230,5295
6400,2186,1494,3876,2867,1347,3890
4089,1426,822,2324,1849,871,1943
4332,1177,584,2324,1541,780,1606
3074,884,451,1665,1329,576,1126
1051,396,192,628,478,316,481
692,180,132,331,267,148,201
